,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
7121,0,0,1,2,2,3,1,3,0,0.19785742883292246,1.0791217501023957,0.6834068924365508,2___1___4,simulated,simulated,simulated
7585,0,1,2,0,0,2,2,2,3,0.19785494103516743,0.9128839683590817,0.5171740862887468,2___2___4,simulated,simulated,simulated
15449,0,1,2,2,3,3,2,2,4,0.19785334018662004,1.2750725141749157,0.8793658338016757,2___2___5,simulated,simulated,simulated
6066,0,1,0,2,3,3,0,3,3,0.19785123308037056,1.1913245391799134,0.7956220730191723,2___2___4,simulated,simulated,simulated
10348,0,1,2,0,2,3,0,2,3,0.197830472967242,0.9608439128816954,0.5651829669472114,2___2___4,simulated,simulated,simulated
4412,0,1,2,2,0,0,3,1,3,0.19782666929303283,1.2044490787443112,0.8087957401582455,2___2___4,simulated,simulated,simulated
15622,0,1,1,1,0,2,3,4,4,0.1978237355033905,1.0953199885091447,0.6996725175023637,2___1___5,simulated,simulated,simulated
12980,0,0,1,2,3,2,0,1,4,0.1978189095336833,1.0375397652038,0.6419019461364335,2___2___5,simulated,simulated,simulated
13346,0,0,1,2,1,3,1,4,0,0.1978118698913689,1.1267255371925122,0.7311017974097744,2___1___5,simulated,simulated,simulated
8259,0,1,2,0,1,1,1,3,0,0.19780724776563507,0.9332002681832816,0.5375857726520115,2___2___4,simulated,simulated,simulated
15513,0,1,0,1,2,0,3,4,4,0.1977996884744353,1.1825008639865826,0.786901487037712,2___2___5,simulated,simulated,simulated
10292,0,0,1,2,3,3,1,2,0,0.1977936180330866,1.1360109465072197,0.7404237104410465,2___1___4,simulated,simulated,simulated
8428,0,1,2,0,1,1,1,1,3,0.1977880255580522,0.8883925279791813,0.49281647686307695,2___3___4,simulated,simulated,simulated
7302,0,1,2,0,3,0,1,2,3,0.19778345731887548,1.041526478702163,0.645959564064412,2___2___4,simulated,simulated,simulated
3563,0,1,2,1,2,0,3,1,0,0.19777988785434486,1.1863520008647694,0.7907922251560797,2___3___4,simulated,simulated,simulated
5138,0,0,1,2,3,2,3,0,1,0.19777922251054103,1.1032880650120267,0.7077296199909446,2___2___4,simulated,simulated,simulated
10394,0,1,2,3,3,0,3,2,3,0.19777897603445171,1.2340780327609584,0.838520080692055,2___2___4,simulated,simulated,simulated
5940,0,1,0,0,2,0,3,3,2,0.19777870311622436,0.9699050669117206,0.5743476606792719,2___2___4,simulated,simulated,simulated
9473,0,1,2,2,3,3,0,2,1,0.19776499834183214,1.224167292871364,0.8286372961876998,2___2___4,simulated,simulated,simulated
10255,0,1,2,2,3,2,3,0,3,0.19776253626415352,1.2922708091707675,0.8967457366424605,2___2___4,simulated,simulated,simulated
4155,0,1,2,2,2,3,1,1,2,0.19776069158007514,1.1683198413235492,0.7727984581633989,2___2___4,simulated,simulated,simulated
15043,0,1,2,1,3,4,1,4,1,0.19774407304874653,1.2262056850857028,0.8307175389882098,2___2___5,simulated,simulated,simulated
