,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
16716,0,1,1,2,1,3,4,0,4,0.37289490223966704,1.4777537725080858,0.7319639680287517,2___2___5,simulated,simulated,simulated
12715,0,1,1,2,1,2,3,0,4,0.37289490223966615,1.4777537725080858,0.7319639680287535,2___2___5,simulated,simulated,simulated
11226,0,1,2,0,2,3,1,4,4,0.37286673949589755,1.3503545228057312,0.6046210438139361,2___2___5,simulated,simulated,simulated
20119,0,1,1,2,3,4,3,5,3,0.3728535419046599,1.6067629127656722,0.8610558289563524,2___1___6,simulated,simulated,simulated
19275,0,1,1,2,2,3,4,2,5,0.3728357669001858,1.5136598528296268,0.7679883190292551,2___2___6,simulated,simulated,simulated
20168,0,0,1,0,2,3,4,5,0,0.37283007552062974,1.313590102997634,0.5679299519563745,2___2___6,simulated,simulated,simulated
17263,0,1,2,2,1,3,4,4,0,0.37272171761457074,1.470886192239314,0.7254427570101725,2___2___5,simulated,simulated,simulated
13204,0,1,2,0,0,3,4,4,1,0.3726963513882786,1.1911296600235075,0.4457369572469503,2___2___5,simulated,simulated,simulated
13407,0,1,0,2,3,3,4,3,1,0.37269441296688677,1.5847397886894594,0.8393509627556859,2___2___5,simulated,simulated,simulated
13953,0,1,2,1,2,3,4,3,4,0.37264092717836084,1.545569849936055,0.8002879955793334,2___1___5,simulated,simulated,simulated
17934,0,1,1,2,0,3,4,1,4,0.3726325817382916,1.4777537725080858,0.7324886090315026,2___2___5,simulated,simulated,simulated
17541,0,1,1,2,0,2,3,1,4,0.3726325817382907,1.4777537725080858,0.7324886090315044,2___2___5,simulated,simulated,simulated
19681,0,1,2,0,3,4,3,5,5,0.37260541773104516,1.4225044169828407,0.6772935815207504,2___2___6,simulated,simulated,simulated
19110,0,1,1,0,2,3,2,4,5,0.37260541773104516,1.4225044169828405,0.6772935815207501,2___2___6,simulated,simulated,simulated
16452,0,1,2,0,3,0,4,4,1,0.37260406679278546,1.2997945795900798,0.5545864460045089,2___2___5,simulated,simulated,simulated
19715,0,1,2,1,3,2,0,4,5,0.37257779437643923,1.4467549639679358,0.7015993752150573,2___3___6,simulated,simulated,simulated
4906,0,1,1,0,0,1,2,2,3,0.3725761390916422,1.1089180620864199,0.3637657839031354,2___2___4,simulated,simulated,simulated
16192,0,1,2,0,2,1,3,4,0,0.3725661378659275,1.4067805957714532,0.6616483200395982,2___2___5,simulated,simulated,simulated
20455,0,1,2,2,3,4,1,1,5,0.37254814050652807,1.4857522295753742,0.7406559485623181,2___2___6,simulated,simulated,simulated
17838,0,1,2,2,3,2,4,1,3,0.37254011757166205,1.57303371017833,0.8279534750350059,2___3___5,simulated,simulated,simulated
12113,0,1,0,2,2,3,4,3,4,0.37252047999582416,1.517662226681803,0.7726212666901546,2___1___5,simulated,simulated,simulated
18374,0,1,2,3,2,4,0,1,5,0.37250006631650745,1.4827143987217253,0.7377142660887104,2___2___6,simulated,simulated,simulated
15228,0,1,0,2,3,3,4,4,2,0.37248632025853845,1.5176622266818027,0.7726895861647258,2___1___5,simulated,simulated,simulated
15151,0,1,1,2,3,4,4,4,3,0.3724727420170464,1.5346130185885634,0.7896675345544706,2___1___5,simulated,simulated,simulated
12551,0,1,0,0,2,3,4,4,1,0.37246051647535117,1.2997945795900798,0.5548735466393775,2___2___5,simulated,simulated,simulated
20646,0,1,2,3,4,0,1,1,5,0.3724546557357944,1.4857522295753745,0.7408429181037857,2___2___6,simulated,simulated,simulated
